timestamp,phase,experiment,strategy,field_type,start_position,rep,total_ig,entropy_reduction,coverage_pct,avg_planning_time,total_time,status,source
2025-08-24T20:07:48.821370,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,13,2386507.8336809366,143468.8477207267,99.609375,0.0758644795417785,7.656794309616089,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:07:56.988494,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,14,2323232.018726712,141713.86329919935,100.0,0.0719655418395996,7.261583566665649,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:08:05.651964,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,15,2337106.976886894,137084.7549990154,99.21875,0.0766743922233581,7.727444648742676,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:08:13.992288,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,16,2350098.5271679275,140373.88059029,100.0,0.0734642910957336,7.416866302490234,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:08:21.913381,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,17,2377691.057722181,140916.79827269432,98.828125,0.0692636322975158,6.990468263626099,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:08:30.460265,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,18,2355655.6696287985,135582.68270242997,98.4375,0.0757578206062317,7.642273426055908,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:08:38.569999,phase_1_computational_budget,ultra_fast,mcts,Gaussian,edge,19,2358673.428703664,141694.7558179531,99.609375,0.0712846398353576,7.187512397766113,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:08:54.955371,phase_1_computational_budget,fast,mcts,Gaussian,corner,0,2284133.492851469,135810.94130146044,98.4375,0.1536283683776855,15.454697132110596,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:09:09.800533,phase_1_computational_budget,fast,mcts,Gaussian,corner,1,2386774.003298433,142027.33505148563,100.0,0.1382740950584411,13.918553590774536,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:09:24.285706,phase_1_computational_budget,fast,mcts,Gaussian,corner,2,2434008.3959431504,141310.00023686915,100.0,0.1347396159172058,13.558427333831789,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:09:37.812815,phase_1_computational_budget,fast,mcts,Gaussian,corner,3,2389213.3331578425,144202.07697022718,100.0,0.1250660419464111,12.588516235351562,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:09:52.114295,phase_1_computational_budget,fast,mcts,Gaussian,corner,4,2438730.0857576462,142473.2888239526,100.0,0.1327149415016174,13.356920957565308,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:10:07.454276,phase_1_computational_budget,fast,mcts,Gaussian,corner,5,2417250.8694493584,144043.04830171049,100.0,0.1431606793403625,14.40185570716858,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:10:23.973769,phase_1_computational_budget,fast,mcts,Gaussian,corner,6,2337684.098865072,140644.01559014214,100.0,0.1547431397438049,15.575865983963013,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:10:38.775000,phase_1_computational_budget,fast,mcts,Gaussian,corner,7,2276219.2049973817,131349.89504063255,96.484375,0.1376741862297058,13.86781644821167,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:10:52.895056,phase_1_computational_budget,fast,mcts,Gaussian,corner,8,2214190.5340723004,133421.9658850406,94.921875,0.1309936428070068,13.198405027389526,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:11:07.767115,phase_1_computational_budget,fast,mcts,Gaussian,corner,9,2339034.694411389,141767.32930012397,100.0,0.1383039951324463,13.930843114852903,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:11:23.245822,phase_1_computational_budget,fast,mcts,Gaussian,corner,10,2271849.295497684,130899.05175284068,95.3125,0.1448997855186462,14.576195001602173,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:11:36.859336,phase_1_computational_budget,fast,mcts,Gaussian,corner,11,2224071.821598444,127703.26756616558,96.875,0.1261317682266235,12.704166889190674,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:11:51.663568,phase_1_computational_budget,fast,mcts,Gaussian,corner,12,2284373.794103052,137888.39165455638,100.0,0.1376393699645996,13.860302686691284,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:12:06.007511,phase_1_computational_budget,fast,mcts,Gaussian,corner,13,2332370.6998179904,136687.4511740828,100.0,0.1332057118415832,13.424471616744995,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:12:20.821768,phase_1_computational_budget,fast,mcts,Gaussian,corner,14,2388661.703240411,145311.01333069493,100.0,0.1376566195487976,13.860548734664915,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:12:35.196763,phase_1_computational_budget,fast,mcts,Gaussian,corner,15,2260456.1612988315,135069.55352023445,97.65625,0.1332481551170349,13.421091318130491,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:12:50.099057,phase_1_computational_budget,fast,mcts,Gaussian,corner,16,2236326.209402799,128907.34195974524,93.75,0.1385614585876464,13.952754974365234,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:13:05.285155,phase_1_computational_budget,fast,mcts,Gaussian,corner,17,2437656.342592753,142717.61472298356,100.0,0.1413086318969726,14.232780933380129,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:13:19.253552,phase_1_computational_budget,fast,mcts,Gaussian,corner,18,2400635.256416345,144702.5955146738,100.0,0.1292796325683593,13.025668859481812,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:13:33.493412,phase_1_computational_budget,fast,mcts,Gaussian,corner,19,2442956.0286443,143493.7779751315,99.609375,0.131957459449768,13.299174070358276,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:13:50.523064,phase_1_computational_budget,fast,mcts,Gaussian,edge,0,2320711.964702242,142754.04869901578,100.0,0.159791944026947,16.079752922058105,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:14:04.863483,phase_1_computational_budget,fast,mcts,Gaussian,edge,1,2384816.1670512594,142621.16394544375,100.0,0.1332215666770935,13.415125131607056,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:14:19.562818,phase_1_computational_budget,fast,mcts,Gaussian,edge,2,2428404.0667549768,139635.22034594684,100.0,0.1368354678153991,13.770310640335085,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:14:34.700403,phase_1_computational_budget,fast,mcts,Gaussian,edge,3,2416949.4008989776,142840.75508933107,100.0,0.1410400247573852,14.191196918487549,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:14:48.443602,phase_1_computational_budget,fast,mcts,Gaussian,edge,4,2211631.701530262,134020.42617881089,96.484375,0.1269556164741516,12.787059307098389,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:15:02.605001,phase_1_computational_budget,fast,mcts,Gaussian,edge,5,2458845.8544477536,139146.04579982103,100.0,0.1311757326126098,13.209702491760254,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:15:17.807317,phase_1_computational_budget,fast,mcts,Gaussian,edge,6,2295181.9985583927,135283.01100148822,97.65625,0.1417296266555786,14.261359930038452,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:15:34.294820,phase_1_computational_budget,fast,mcts,Gaussian,edge,7,2337137.079615532,145741.32497256258,100.0,0.1544275665283203,15.53950047492981,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:15:48.514176,phase_1_computational_budget,fast,mcts,Gaussian,edge,8,2429510.8747408413,140852.4883810659,100.0,0.1318948936462402,13.276425123214722,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:16:03.258875,phase_1_computational_budget,fast,mcts,Gaussian,edge,9,2391311.2035510438,143607.79008738848,100.0,0.1369076633453369,13.781838417053224,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:16:19.080336,phase_1_computational_budget,fast,mcts,Gaussian,edge,10,2312316.4884383217,144442.90988012592,100.0,0.1474899578094482,14.859805345535278,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:16:33.857671,phase_1_computational_budget,fast,mcts,Gaussian,edge,11,2329978.7236480964,136161.7559392593,98.828125,0.1371347427368164,13.807497024536133,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:16:49.392514,phase_1_computational_budget,fast,mcts,Gaussian,edge,12,2269773.1903167507,132699.23922681765,99.609375,0.145053699016571,14.600074291229248,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:17:04.125389,phase_1_computational_budget,fast,mcts,Gaussian,edge,13,2247850.905755057,132068.39660254988,98.4375,0.1367939615249633,13.772421836853027,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:17:20.689167,phase_1_computational_budget,fast,mcts,Gaussian,edge,14,2395276.114591775,140552.3846964606,100.0,0.1550947475433349,15.610837697982788,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:17:34.550702,phase_1_computational_budget,fast,mcts,Gaussian,edge,15,2401449.938777604,139649.9134701908,98.046875,0.1284177422523498,12.93368649482727,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:17:49.198107,phase_1_computational_budget,fast,mcts,Gaussian,edge,16,2281157.595205115,138299.79525710444,100.0,0.1357947421073913,13.669007539749146,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:18:05.186034,phase_1_computational_budget,fast,mcts,Gaussian,edge,17,2340929.9191780183,143634.17737720875,99.609375,0.1495285439491272,15.052608251571655,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:18:19.446380,phase_1_computational_budget,fast,mcts,Gaussian,edge,18,2224209.2019987376,135712.45086656822,98.4375,0.1321141052246093,13.301552295684814,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:18:34.319356,phase_1_computational_budget,fast,mcts,Gaussian,edge,19,2363203.412772797,139870.85200689547,99.609375,0.1382947731018066,13.924899101257324,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:19:14.355342,phase_1_computational_budget,balanced,mcts,Gaussian,corner,0,3684267.346105625,129803.93019851012,96.875,0.3895777177810668,39.05692434310913,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:19:57.137292,phase_1_computational_budget,balanced,mcts,Gaussian,corner,1,3992272.56335027,145234.054192273,100.0,0.4171468138694763,41.81578731536865,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:20:40.739014,phase_1_computational_budget,balanced,mcts,Gaussian,corner,2,3729652.064447484,141048.43029766262,98.4375,0.4255913996696472,42.65619516372681,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:21:25.005774,phase_1_computational_budget,balanced,mcts,Gaussian,corner,3,3732553.2289319127,139763.7789196366,100.0,0.4320577001571655,43.300811529159546,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
2025-08-24T20:22:07.857768,phase_1_computational_budget,balanced,mcts,Gaussian,corner,4,3871625.91089522,143291.58619143374,100.0,0.4181501770019531,41.91261863708496,completed,/home/bota/Desktop/active_sensing_extended_planner/results/mcts_experiments/20250824_7
